Hostname,IP,Set,Stripe
njscss4n1001,172.18.78.29,3,4
njscss4p0301,172.18.79.1,3,4
njscss4p0603,172.18.79.21,3,4
njscss4p0905,172.18.79.41,3,4
njscss4p1301,172.18.77.37,3,4
tjscssa0303,172.16.75.7,3,4
tjscssd1105,172.16.75.29,3,4
tjscssd0805,172.16.75.47,3,4
tjscssb1501,172.16.76.1,3,4
tjscssb1201,172.16.76.19,3,4
tjscssc1302,172.16.76.38,3,4
tjscssc0803,172.16.77.33,3,4
tjscssb0603,172.16.78.3,3,4
tjscssc0404,172.16.78.22,3,4
tjscssd0101,172.16.78.43,3,4
tjscssd0703,172.16.79.15,3,4
tjscssd0302,172.16.79.38,3,4
hzscssa1701,172.20.75.9,3,4
hzscssa2101,172.20.75.29,3,4
hzscssb0703,172.20.76.9,3,4
hzscssb1201,172.20.76.29,3,4
hzscssb1701,172.20.75.41,3,4
hzscssb2101,172.20.79.13,3,4
hzscssc0403,172.20.77.9,3,4
hzscssc0705,172.20.77.29,3,4
hzscssc1101,172.20.78.1,3,4
hzscssc1403,172.20.78.21,3,4
hzscssc1705,172.20.78.41,3,4
hzscssc2101,172.20.79.37,3,4
njscss4k0204,172.18.75.10,3,5
njscss4k0506,172.18.75.30,3,5
njscss4l0502,172.18.76.2,3,5
njscss4l0804,172.18.76.22,3,5
njscss4l1106,172.18.76.42,3,5
njscss4m1502,172.18.77.14,3,5
njscss4n0502,172.18.78.10,3,5
njscss4n1002,172.18.78.30,3,5
njscss4p0302,172.18.79.2,3,5
njscss4p0604,172.18.79.22,3,5
njscss4p0906,172.18.79.42,3,5
njscss4p1302,172.18.77.38,3,5
tjscssa0304,172.16.75.8,3,5
tjscssd1106,172.16.75.30,3,5
tjscssd0806,172.16.75.48,3,5
tjscssb1502,172.16.76.2,3,5
tjscssb1202,172.16.76.20,3,5
tjscssc1303,172.16.76.39,3,5
tjscssc0804,172.16.77.34,3,5
tjscssb0604,172.16.78.4,3,5
tjscssc0405,172.16.78.23,3,5
tjscssd0102,172.16.78.44,3,5
tjscssd0704,172.16.79.16,3,5
tjscssd0404,172.16.79.34,3,5
hzscssa1702,172.20.75.10,3,5
hzscssa2102,172.20.75.30,3,5
hzscssb0704,172.20.76.10,3,5
hzscssb1202,172.20.76.30,3,5
hzscssb1702,172.20.75.42,3,5
hzscssb2102,172.20.79.14,3,5
hzscssc0404,172.20.77.10,3,5
hzscssc0706,172.20.77.30,3,5
hzscssc1102,172.20.78.2,3,5
hzscssc1404,172.20.78.22,3,5
hzscssc1706,172.20.78.42,3,5
hzscssc2102,172.20.79.38,3,5
njscss4k0205,172.18.75.11,4,1
njscss4k0601,172.18.75.31,4,1
njscss4l0503,172.18.76.3,4,1
njscss4l0805,172.18.76.23,4,1
njscss4l1201,172.18.76.43,4,1
njscss4m1503,172.18.77.15,4,1
njscss4n0503,172.18.78.11,4,1
njscss4n1003,172.18.78.31,4,1
njscss4p0303,172.18.79.3,4,1
njscss4p0605,172.18.79.23,4,1
njscss4p1001,172.18.79.43,4,1
njscss4p1303,172.18.77.39,4,1
tjscssa0203,172.16.75.11,4,1
tjscssd1004,172.16.75.34,4,1
tjscssb1401,172.16.76.7,4,1
tjscssb1001,172.16.76.27,4,1
tjscssc1201,172.16.76.43,4,1
tjscssc1001,172.16.77.19,4,1
tjscssc0701,172.16.77.37,4,1
tjscssb0401,172.16.78.9,4,1
tjscssc0201,172.16.78.31,4,1
tjscssd0105,172.16.78.47,4,1
tjscssd0604,172.16.79.22,4,1
tjscssd0305,172.16.79.41,4,1
hzscssa1703,172.20.75.11,4,1
hzscssa2103,172.20.75.31,4,1
hzscssb0705,172.20.76.11,4,1
hzscssb1203,172.20.76.31,4,1
hzscssb1703,172.20.75.43,4,1
hzscssb2103,172.20.79.15,4,1
hzscssc0405,172.20.77.11,4,1
hzscssc0801,172.20.77.31,4,1
hzscssc1103,172.20.78.3,4,1
hzscssc1405,172.20.78.23,4,1
hzscssc1801,172.20.78.43,4,1
hzscssc2103,172.20.79.39,4,1
njscss4k0206,172.18.75.12,4,2
njscss4k0602,172.18.75.32,4,2
njscss4l0504,172.18.76.4,4,2
njscss4l0806,172.18.76.24,4,2
njscss4l1202,172.18.76.44,4,2
njscss4m1504,172.18.77.16,4,2
njscss4n0504,172.18.78.12,4,2
njscss4n1004,172.18.78.32,4,2
njscss4p0304,172.18.79.4,4,2
njscss4p0606,172.18.79.24,4,2
njscss4p1002,172.18.79.44,4,2
njscss4p1304,172.18.77.40,4,2
tjscssa0204,172.16.75.12,4,2
tjscssd1005,172.16.75.35,4,2
tjscssb1503,172.16.76.3,4,2
tjscssb1101,172.16.76.23,4,2
tjscssc1202,172.16.76.44,4,2
tjscssc1103,172.16.77.15,4,2
tjscssc0702,172.16.77.38,4,2
tjscssb0402,172.16.78.10,4,2
tjscssc0303,172.16.78.27,4,2
tjscssd0106,172.16.78.48,4,2
tjscssd0605,172.16.79.23,4,2
tjscssd0306,172.16.79.42,4,2
hzscssa1704,172.20.75.12,4,2
hzscssa2104,172.20.75.32,4,2
hzscssb0706,172.20.76.12,4,2
hzscssb1204,172.20.76.32,4,2
hzscssb1704,172.20.75.44,4,2
hzscssb2104,172.20.79.16,4,2
hzscssc0406,172.20.77.12,4,2
hzscssc0802,172.20.77.32,4,2
hzscssc1104,172.20.78.4,4,2
hzscssc1406,172.20.78.24,4,2
hzscssc1802,172.20.78.44,4,2
hzscssc2104,172.20.79.40,4,2
njscss4k0301,172.18.75.13,4,3
njscss4k0603,172.18.75.33,4,3
njscss4l0505,172.18.76.5,4,3
njscss4l0901,172.18.76.25,4,3
njscss4l1203,172.18.76.45,4,3
njscss4m1601,172.18.77.17,4,3
njscss4n0601,172.18.78.13,4,3
njscss4n1101,172.18.78.33,4,3
njscss4p0305,172.18.79.5,4,3
njscss4p0701,172.18.79.25,4,3
njscss4p1003,172.18.79.45,4,3
njscss4p1305,172.18.77.41,4,3
tjscssd1301,172.16.75.13,4,3
tjscssd1001,172.16.75.31,4,3
tjscssb1504,172.16.76.4,4,3
tjscssb1102,172.16.76.24,4,3
tjscssc1203,172.16.76.45,4,3
tjscssc1104,172.16.77.16,4,3
tjscssc0703,172.16.77.39,4,3
tjscssb0403,172.16.78.11,4,3
tjscssc0304,172.16.78.28,4,3
tjscssb0301,172.16.79.1,4,3
tjscssd0601,172.16.79.19,4,3
tjscssd0201,172.16.79.43,4,3
hzscssa1801,172.20.75.13,4,3
hzscssa2105,172.20.75.33,4,3
hzscssb0801,172.20.76.13,4,3
hzscssb1301,172.20.76.33,4,3
hzscssb1801,172.20.75.45,4,3
hzscssb2105,172.20.79.17,4,3
hzscssc0501,172.20.77.13,4,3
hzscssc0803,172.20.77.33,4,3
hzscssc1105,172.20.78.5,4,3
hzscssc1501,172.20.78.25,4,3
hzscssc1803,172.20.78.45,4,3
hzscssc2105,172.20.79.41,4,3
njscss4k0302,172.18.75.14,4,4
njscss4k0604,172.18.75.34,4,4
njscss4l0506,172.18.76.6,4,4
njscss4l0902,172.18.76.26,4,4
njscss4l1204,172.18.76.46,4,4
njscss4m1602,172.18.77.18,4,4
njscss4n0602,172.18.78.14,4,4
njscss4n1102,172.18.78.34,4,4
njscss4p0306,172.18.79.6,4,4
njscss4p0702,172.18.79.26,4,4
njscss4p1004,172.18.79.46,4,4
njscss4p1306,172.18.77.42,4,4
